,site,code,latitude,longitude,site_type,source
144,Barking and Dagenham - Rush Green,BG1,51.563752,0.177891,Suburban,kcl
460,Barking and Dagenham - Scrattons Farm,BG2,51.529389,0.132857,Suburban,kcl
167,Barking and Dagenham - North Street,BG3,51.540444,0.074418,Kerbside,kcl
719,Barnet - Tally Ho Corner,BN1,51.614675,-0.176607,Kerbside,kcl
720,Barnet - Finchley,BN2,51.591901,-0.205992,Urban Background,kcl
721,Barnet - Strawberry Vale ,BN3,51.60088485,-0.172297542,Urban Background,kcl
105,Bexley 8 - Traffic(W slow - nearest BX8),BQ1,51.45685466,0.194546363,Kerbside,kcl
562,Bexley 8 - Traffic(W fast),BQ2,51.45685466,0.194546363,Kerbside,kcl
563,Bexley 8 - Traffic(E fast),BQ3,51.45685466,0.194546363,Kerbside,kcl
564,Bexley 8 - Traffic(E slow - nearest BX7),BQ4,51.45685466,0.194546363,Kerbside,kcl
1001,Bexley - Manor Road West Gravimetric,BQ5,51.47819351,0.187404884,Industrial,kcl
1000,Bexley - Manor Road East Gravimetric,BQ6,51.4776708,0.190836226,Industrial,kcl
713,Bexley - Belvedere West,BQ7,51.49464868,0.137279111,Urban Background,kcl
361,Bexley - Belvedere West FDMS,BQ8,51.49464868,0.137279111,Urban Background,kcl
29,Bexley - Slade Green Fidas,BQ9,51.46598327,0.184877127,Suburban,kcl
573,Brent 4 - aethalometer,BT0,51.55244463,-0.258117056,Roadside,kcl
722,Brent - Kingsbury,BT1,51.589618,-0.275519,Suburban,kcl
723,Brent - Ikea Car Park,BT2,51.55243263,-0.260338844,Roadside,kcl
724,Brent - Harlesden,BT3,51.53708003,-0.249273425,Roadside,kcl
182,Brent - Ikea,BT4,51.552476,-0.258089,Roadside,kcl
218,Brent - Neasden Lane,BT5,51.552656,-0.248774,Industrial,kcl
779,Brent - John Keble Primary School,BT6,51.537799,-0.247793,Roadside,kcl
321,Brent - St Marys Primary School,BT7,51.534718,-0.196664,Urban Background,kcl
972,Brent - ARK Franklin Primary Academy,BT8,51.53240546,-0.217718909,Roadside,kcl
299,Bexley - Belvedere FDMS,BX0,51.49061021,0.158914494,Suburban,kcl
726,Bexley - Slade Green,BX1,51.46598327,0.184877127,Suburban,kcl
727,Bexley - Belvedere,BX2,51.49061021,0.158914494,Suburban,kcl
728,Bexley - Thamesmead,BX3,51.510808,0.121617,Suburban,kcl
729,Bexley - Erith,BX4,51.4776708,0.190836226,Industrial,kcl
730,Bexley - Bedonwell ,BX5,51.47880235,0.133873839,Suburban,kcl
222,Bexley - Thames Road North FDMS,BX6,51.457159,0.195294,Roadside,kcl
668,Bexley - Thames Road North,BX7,51.457159,0.195294,Roadside,kcl
669,Bexley - Thames Road South,BX8,51.456887,0.194582,Roadside,kcl
345,Bexley - Slade Green FDMS,BX9,51.46598327,0.184877127,Suburban,kcl
789,Bromley - Rent Office,BY1,51.41323389,0.007214716,Urban Background,kcl
790,Bromley - Tweedy Rd,BY4,51.40383481,0.020390229,Roadside,kcl
731,Bromley - Biggin Hill,BY5,51.314562,0.042019,Suburban,kcl
575,Bromley TR Calibrate,BY6,51.40383481,0.020390229,Roadside,kcl
732,Bromley - Harwood Avenue,BY7,51.405546,0.018882,Roadside,kcl
309,Bromley 8 - TECO NOX,BY8,51.4062281,0.017188632,Roadside,kcl
734,Camden - Swiss Cottage,CD1,51.544219,-0.175284,Kerbside,kcl
577,Camden API,CD2,51.54419013,-0.175320118,Kerbside,kcl
735,Camden - Shaftesbury Avenue,CD3,51.515532,-0.127027,Roadside,kcl
99,Camden - St Martins College (NOX 1),CD4,51.518846,-0.12034,Urban Background,kcl
100,Camden - St Martins College (NOX 2),CD5,51.518846,-0.12034,Urban Background,kcl
849,Camden - Swiss Cottage Partisol,CD7,51.54480551,-0.174992639,Kerbside,kcl
880,Camden - Euston Road,CD9,51.527975,-0.1287742,Roadside,kcl
717,Croydon - Purley Way,CR2,51.362638,-0.117952,Roadside,kcl
744,Croydon - Thornton Heath,CR3,51.40401,-0.098814,Suburban,kcl
